starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 20 23:37:14 2014	1392899834	23	246	268	148
Thu Feb 20 23:37:15 2014	1392899835	34	252	286	130
Thu Feb 20 23:37:11 2014	1392899831	26	264	290	114
Thu Feb 20 23:37:12 2014	1392899832	31	282	313	121
Thu Feb 20 23:37:13 2014	1392899833	25	298	322	145
Thu Feb 20 23:37:15 2014	1392899835	42	282	324	144
Thu Feb 20 23:37:15 2014	1392899835	34	296	331	143
Thu Feb 20 23:37:13 2014	1392899833	23	310	333	160
Thu Feb 20 23:37:11 2014	1392899831	57	277	334	139
Thu Feb 20 23:37:11 2014	1392899831	30	313	343	158
Thu Feb 20 23:37:14 2014	1392899834	35	309	344	141
Thu Feb 20 23:37:12 2014	1392899832	34	313	347	134
Thu Feb 20 23:37:11 2014	1392899831	72	277	349	148
Thu Feb 20 23:37:12 2014	1392899832	56	297	354	155
Thu Feb 20 23:37:15 2014	1392899835	25	329	354	166
Thu Feb 20 23:37:14 2014	1392899834	25	329	354	137
Thu Feb 20 23:37:12 2014	1392899832	63	298	362	150
Thu Feb 20 23:37:12 2014	1392899832	64	301	365	150
Thu Feb 20 23:37:13 2014	1392899833	24	342	366	153
Thu Feb 20 23:37:15 2014	1392899835	24	343	367	153
Thu Feb 20 23:37:11 2014	1392899831	44	324	368	124
Thu Feb 20 23:37:09 2014	1392899829	24	346	371	153
Thu Feb 20 23:37:14 2014	1392899834	29	355	384	163
Thu Feb 20 23:37:10 2014	1392899830	54	331	385	175
Thu Feb 20 23:37:10 2014	1392899830	35	351	385	151
Thu Feb 20 23:37:10 2014	1392899830	74	313	386	176
Thu Feb 20 23:37:10 2014	1392899830	34	353	387	167
Thu Feb 20 23:37:13 2014	1392899833	40	348	388	154
Thu Feb 20 23:37:10 2014	1392899830	51	338	389	181
Thu Feb 20 23:37:11 2014	1392899831	45	355	401	172
Thu Feb 20 23:37:10 2014	1392899830	37	364	401	154
Thu Feb 20 23:37:13 2014	1392899833	28	378	406	131
Thu Feb 20 23:37:12 2014	1392899832	42	368	410	149
Thu Feb 20 23:37:11 2014	1392899831	38	375	413	174
Thu Feb 20 23:37:11 2014	1392899831	30	388	417	225
